Mon Mar  8 11:32:38 2021,>7059,50100,,,,,,,
Mon Mar  8 11:32:48 2021,>7069,50100,,,,,,,
Mon Mar  8 11:33:45 2021,>7126,50100,,,,,,,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:41:09 2021,>7570,50100,,,,,,,
Mon Mar  8 11:43:34 2021,>7716,50100,,,,,,,
Mon Mar  8 11:43:49 2021,>7730,50100,,,,,,,
Mon Mar  8 11:43:58 2021,>7740,50100,,,,,,,
Mon Mar  8 11:44:11 2021,>7752,50100,,,,,,,
Mon Mar  8 11:44:14 2021,>7755,50100,,,,,,,
Mon Mar  8 11:44:24 2021,>7765,50100,,,,,,,
Mon Mar  8 11:44:34 2021,>7775,50100,,,,,,,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:45:00 2021,>7801,50100,-,-,-,-,-,-,
Mon Mar  8 11:45:10 2021,>7811,50100,-,-,-,-,-,-,
Mon Mar  8 11:45:20 2021,>7821,50100,-,-,-,-,-,-,
Mon Mar  8 11:45:30 2021,>7831,50100,-,-,-,-,-,-,
Mon Mar  8 11:45:40 2021,>7841,50100,-,-,-,-,-,-,
Mon Mar  8 11:45:50 2021,>7851,50100,-,-,-,-,-,-,
Mon Mar  8 11:46:00 2021,>7861,50100,-,-,-,-,-,-,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:48:51 2021,>8032,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Mar  8 11:49:41 2021,>8082,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Mar  8 11:49:51 2021,>8092,50100,1,00051,T,_NV,FMS1NSNS,00051,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:52:16 2021,>8237,50100,1,00051,T,_NV,FMS1NSNS,00051,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:53:03 2021,>8284,50100,1,00051,T,_NV,FMS1NSNS,00051,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:55:13 2021,>8414,50100,1,00051,T,_NV,FMS1NSNS,00051,
Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Mon Mar  8 11:56:31 2021,>8492,50100,1,00051,T,_NV,FMS1NSNS,00051,
Mon Mar  8 11:56:41 2021,>8502,50100,1,00051,T,_NV,FMS1NSNS,00051,
