Time,Oxygen,,,,Oxygen,,,PEEP,Oxygen,,,,,,
Fri Apr 23 13:54:47 2021,  80 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:54:53 2021,  80 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:54:58 2021,  80 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:03 2021,  80 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:08 2021,  80 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:13 2021,  80 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:17 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:22 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:27 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:32 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:37 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:42 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:47 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:53 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
Fri Apr 23 13:55:58 2021,  85 ,40.59,05 1.,007  ,.008 ,1.909,14.00,  5.0,1  20,12 17,016  ,0 29 ,5.02E,0.202,
