Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:16 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:20 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:25 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:30 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:35 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:40 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:45 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:52:50 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:10 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:15 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:20 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:25 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:30 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:35 2021,1.17,14.0, 30 , 40 , 60 ,
Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Thu Jun 10 14:53:40 2021,1.17,14.0, 30 , 40 , 60 ,
