Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:14 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:17 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:20 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:23 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:26 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:29 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:32 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:35 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:38 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:41 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:44 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:47 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:50 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:52:53 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:02 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:05 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:07 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:10 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:14 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:17 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:20 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:23 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:26 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:29 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:32 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:35 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:38 2021, 6.7, 30 ,
Time,RespiratoryMinuteVolumeFrac,EndTidalCO2mmHg,
Thu Jun 10 14:53:41 2021, 6.7, 30 ,
